Gender,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
Female,5,3,6,7,7,lively
Female,5,5,6,2,5,dependable
Female,4,6,5,1,6,responsible
Male,3,5,7,6,5,serious
Female,5,2,5,4,4,serious
Male,5,3,6,7,4,serious
Female,6,3,5,5,7,extraverted
Male,5,3,4,5,5,serious
Female,3,4,7,7,7,extraverted
Female,7,5,4,1,5,dependable
Female,4,1,7,6,5,responsible
Female,3,6,3,7,6,lively
Female,6,4,3,1,7,extraverted
Female,5,2,2,2,4,dependable
Female,2,2,3,4,4,serious
Male,6,3,2,3,4,responsible
Female,4,6,6,5,4,extraverted
Male,5,6,4,6,2,lively
Male,2,5,3,7,1,serious
Female,4,7,5,4,5,extraverted
Female,4,7,4,7,3,dependable
Female,1,1,5,5,6,dependable
Female,7,6,6,5,7,dependable
Female,5,7,7,7,4,responsible
Male,6,7,5,4,1,dependable
Female,7,4,4,4,6,responsible
Male,5,5,6,6,7,lively
Male,2,7,2,6,2,responsible
Male,6,3,4,5,1,lively
Female,6,3,5,3,2,extraverted
Female,5,4,1,5,2,extraverted
Male,5,3,1,3,3,responsible
Female,5,5,2,6,4,serious
Female,5,7,2,4,2,extraverted
Female,5,4,2,1,5,lively
Male,7,7,1,1,1,extraverted
Female,6,2,2,7,4,extraverted
Male,5,3,1,5,5,serious
Female,5,7,1,6,6,serious
Male,4,5,5,4,3,serious
Female,5,3,4,6,2,responsible
Female,6,1,5,4,5,serious
Female,5,2,3,7,5,extraverted
Female,6,7,3,7,7,lively
Male,6,5,1,7,4,lively
Male,5,7,1,3,6,extraverted
Female,6,7,4,4,6,serious
Male,5,5,2,7,1,dependable
Male,3,4,7,6,5,serious
Male,4,4,7,6,5,lively
Female,4,5,3,4,1,responsible
Male,6,3,1,5,7,lively
Female,5,2,3,6,1,serious
Male,4,5,5,7,5,extraverted
Female,5,3,1,5,5,extraverted
Female,2,7,1,4,4,responsible
Male,6,6,1,2,2,lively
Female,5,5,3,6,1,extraverted
Male,5,5,2,7,4,dependable
Male,4,7,4,6,4,responsible
Male,6,2,1,6,6,serious
Female,4,5,2,5,5,responsible
Male,7,2,1,7,6,dependable
Male,3,4,3,6,3,responsible
Female,6,1,1,7,6,serious
Female,2,5,7,7,7,dependable
Male,6,1,2,7,4,serious
Male,5,1,1,2,3,lively
Female,5,5,6,6,5,extraverted
Female,4,4,4,7,5,serious
Female,4,1,1,3,5,dependable
Male,4,3,3,7,7,serious
Female,5,1,5,7,6,lively
Female,5,5,5,7,6,extraverted
Male,6,2,7,6,1,lively
Female,6,1,4,6,4,responsible
Female,4,1,2,7,5,responsible
Female,6,1,5,7,7,extraverted
Male,5,4,6,5,3,serious
Male,7,2,1,6,4,extraverted
Female,6,1,3,7,5,responsible
Male,1,2,3,7,6,responsible
Female,4,1,4,7,4,responsible
Female,5,5,5,4,4,dependable
Male,5,1,5,6,6,dependable
Female,5,1,7,6,5,dependable
Female,5,1,2,5,4,responsible
Male,7,2,6,4,4,serious
Male,6,7,6,6,4,extraverted
Female,4,5,5,4,6,serious
Male,3,4,3,1,5,lively
Female,6,1,2,7,7,extraverted
Male,7,2,4,6,5,extraverted
Female,6,5,5,4,6,dependable
Male,5,3,6,6,5,lively
Male,2,1,5,6,6,lively
Female,6,1,4,6,7,serious
Female,5,1,3,7,5,responsible
Male,5,3,2,7,7,dependable
Female,5,1,3,5,4,responsible
Male,3,4,2,4,6,extraverted
Male,6,3,6,7,6,responsible
Female,6,4,5,5,5,extraverted
Female,5,1,1,7,6,serious
Female,7,3,3,1,6,dependable
Male,6,1,6,4,5,extraverted
Male,5,7,6,5,6,extraverted
Female,4,5,5,4,4,dependable
Male,6,5,1,4,7,responsible
Male,3,4,3,4,7,lively
Male,5,7,2,6,5,serious
Male,2,6,7,3,6,serious
Female,5,6,3,4,7,serious
Female,3,5,3,3,4,extraverted
Male,5,6,5,6,1,dependable
Female,7,3,3,5,5,responsible
Male,4,3,6,2,6,dependable
Female,3,4,7,6,4,lively
Male,2,6,6,2,5,responsible
Male,6,6,4,4,4,lively
Female,6,6,4,7,5,extraverted
Male,7,7,2,5,4,serious
Male,4,7,7,3,5,responsible
Female,5,5,5,4,5,responsible
Female,1,5,4,6,5,dependable
Male,1,5,2,7,3,dependable
Male,4,2,3,5,5,serious
Female,6,3,3,1,5,serious
Female,6,1,6,4,6,serious
Male,6,3,3,6,7,lively
Male,7,2,4,6,4,serious
Female,6,4,4,4,5,extraverted
Male,3,3,2,3,7,responsible
Male,4,4,1,6,6,lively
Female,7,1,4,5,4,dependable
Male,7,4,6,3,4,serious
Female,6,5,1,3,5,lively
Female,4,4,1,5,3,dependable
Male,4,4,4,6,3,lively
Male,5,4,3,5,6,dependable
Male,4,3,3,5,3,serious
Female,6,6,2,3,7,extraverted
Male,6,6,6,3,3,dependable
Male,6,2,2,7,5,lively
Female,6,4,7,5,7,serious
Male,7,7,5,6,7,extraverted
Female,3,6,7,4,3,lively
Male,5,2,7,5,1,lively
Male,3,4,7,5,5,extraverted
Female,5,5,5,7,5,dependable
Female,5,6,7,4,5,serious
Female,3,5,6,5,5,extraverted
Male,3,5,2,5,2,responsible
Female,5,4,6,7,5,serious
Female,6,4,7,5,5,serious
Male,7,4,3,6,5,responsible
Male,5,4,6,7,1,lively
Female,5,5,7,6,4,serious
Male,6,6,5,4,5,serious
Male,6,3,1,4,6,lively
Female,3,5,3,5,4,serious
Male,6,6,6,4,6,responsible
Female,5,7,6,7,6,dependable
Female,2,7,5,7,4,dependable
Female,6,6,1,5,1,lively
Male,6,7,3,1,5,extraverted
Female,3,6,2,5,7,extraverted
Male,7,7,7,6,2,lively
Male,6,6,3,6,5,responsible
Female,6,6,3,6,3,serious
Female,5,5,7,5,6,serious
Male,7,6,7,5,5,responsible
Male,6,7,7,4,2,dependable
Female,4,6,3,5,4,serious
Male,6,5,5,4,5,extraverted
Female,6,6,6,6,4,dependable
Male,2,5,5,3,5,extraverted
Female,5,4,6,4,5,lively
Male,4,5,7,4,3,dependable
Male,1,6,5,1,7,dependable
Female,3,7,3,2,6,lively
Male,5,6,7,5,4,responsible
Male,4,6,7,6,5,lively
Female,2,6,7,4,3,serious
Male,3,7,6,3,5,serious
Female,3,7,6,6,7,dependable
Female,7,7,3,5,7,serious
Female,6,7,3,7,5,extraverted
Male,3,7,7,5,3,extraverted
Female,4,4,5,2,3,lively
Female,7,4,1,3,6,extraverted
Male,6,5,5,6,5,responsible
Female,4,5,7,7,4,extraverted
Female,7,5,7,5,5,serious
Male,1,6,3,6,6,lively
Female,3,5,5,5,5,serious
Male,5,4,5,7,5,serious
Male,2,6,6,7,6,extraverted
Female,4,5,2,2,3,extraverted
Male,6,5,4,3,7,serious
Male,1,5,4,7,4,dependable
Male,3,3,2,6,4,lively
Female,5,5,3,6,5,lively
Female,2,3,6,7,5,dependable
Male,4,7,3,5,1,lively
Female,7,3,4,7,5,dependable
Male,4,5,2,5,6,serious
Male,6,4,5,7,5,extraverted
Female,1,4,2,5,2,dependable
Male,5,3,4,5,2,responsible
Female,5,7,6,4,4,dependable
Male,5,1,7,5,3,serious
Male,7,4,7,6,5,serious
Male,5,2,3,5,4,responsible
Female,6,1,5,5,5,responsible
Female,7,1,3,4,5,extraverted
Male,6,2,2,4,5,dependable
Female,4,4,5,4,5,lively
Male,4,3,3,4,3,serious
Female,5,4,3,4,6,serious
Male,4,3,1,7,3,lively
Male,7,4,4,3,6,responsible
Male,7,4,3,2,6,responsible
Female,5,8,1,7,4,extraverted
Male,1,7,6,3,6,lively
Male,5,5,4,5,3,lively
Male,6,4,7,4,6,extraverted
Female,6,6,5,3,1,dependable
Female,6,2,7,1,2,dependable
Male,5,6,3,5,4,serious
Male,6,2,5,6,2,extraverted
Female,1,6,6,2,6,dependable
Male,4,6,6,3,4,lively
Female,4,2,6,2,3,serious
Male,6,3,4,4,5,extraverted
Male,6,5,6,4,5,responsible
Female,7,6,5,5,4,extraverted
Female,7,5,7,2,3,extraverted
Male,5,5,7,4,5,responsible
Male,7,4,5,2,5,dependable
Female,6,5,4,4,5,serious
Male,6,5,7,4,5,lively
Female,6,4,2,7,6,serious
Male,6,6,7,3,6,extraverted
Female,5,6,6,3,6,dependable
Female,5,5,4,4,4,responsible
Female,4,6,6,4,5,extraverted
Male,6,4,4,6,6,serious
Female,7,4,5,5,5,serious
Male,3,7,1,5,7,responsible
Male,5,5,6,6,4,lively
Female,7,6,7,1,1,responsible
Female,5,5,4,3,5,serious
Male,6,3,7,1,4,dependable
Female,5,6,6,4,4,dependable
Male,1,3,5,6,4,serious
Male,4,7,6,4,6,dependable
Female,6,3,2,4,6,dependable
Male,4,5,6,5,5,responsible
Female,5,5,6,4,6,lively
Male,1,2,7,6,4,dependable
Male,3,3,6,5,3,responsible
Female,4,4,7,5,6,serious
Female,5,4,6,4,3,lively
Male,2,5,7,6,7,dependable
Male,7,5,6,2,6,serious
Female,6,7,5,4,3,lively
Female,3,5,3,5,6,responsible
Female,3,5,6,3,4,responsible
Male,5,4,5,2,7,extraverted
Male,5,5,7,2,4,serious
Female,4,5,7,4,7,lively
Female,2,4,4,3,5,serious
Female,6,4,7,5,7,lively
Male,1,2,7,4,6,extraverted
Male,1,6,7,4,4,lively
Male,6,4,4,4,6,dependable
Male,5,4,4,6,3,lively
Female,6,1,7,6,5,dependable
Male,3,3,4,4,3,responsible
Female,4,5,2,6,2,responsible
Female,4,4,4,4,6,responsible
Male,7,2,4,3,4,serious
Female,5,4,5,7,6,dependable
Male,4,4,3,5,5,responsible
Male,5,3,5,6,6,serious
Female,4,2,1,5,6,serious
Female,6,3,4,5,4,lively
Female,5,3,5,5,5,serious
Female,5,7,3,7,4,extraverted
Male,4,5,6,5,5,responsible
Male,5,4,5,1,3,responsible
Female,6,1,3,6,6,extraverted
Male,6,6,7,6,5,extraverted
Female,4,6,3,5,4,serious
Male,7,4,2,6,4,dependable
Male,3,6,5,4,3,lively
Female,4,2,3,5,6,responsible
Female,4,4,6,4,3,lively
Male,4,5,5,2,2,extraverted
Male,5,5,5,4,6,extraverted
Female,6,2,6,3,2,dependable
Female,7,4,7,5,5,responsible
Female,3,3,6,3,5,extraverted
Male,2,4,7,6,6,responsible
Male,2,2,4,7,3,extraverted
Male,3,7,3,3,7,extraverted
5,2,5,6,1,5,serious
Male,5,4,5,5,1,lively
Female,2,5,4,6,6,serious
Male,3,6,6,1,6,serious
Female,3,4,5,1,4,extraverted
Female,4,6,4,5,6,dependable
Male,5,6,3,3,4,responsible
Male,5,6,6,2,3,lively
Female,3,5,7,4,6,extraverted
Female,2,5,3,2,7,responsible
Male,5,7,1,3,4,extraverted
Female,6,5,6,2,7,dependable
Male,6,4,5,4,3,dependable
Female,2,6,6,5,6,serious
Male,4,5,5,6,4,responsible
Male,6,6,5,3,6,dependable
Male,1,5,6,2,5,serious
Female,3,5,5,5,5,dependable
Female,4,4,5,6,5,responsible
Female,5,2,7,7,6,responsible
Male,5,5,5,2,6,serious
Female,3,2,4,4,3,lively
Male,6,4,6,6,5,extraverted
Male,7,5,5,1,5,dependable
Male,4,6,4,2,7,extraverted
Female,3,5,6,4,7,serious
Female,4,5,5,2,5,serious
Female,1,4,6,7,5,responsible
Male,3,4,5,1,4,serious
Male,3,4,5,2,7,serious
Male,3,3,5,7,4,extraverted
Female,5,1,1,5,5,extraverted
Female,3,5,4,1,7,responsible
Male,3,6,6,1,6,lively
Male,7,2,5,5,6,responsible
Male,3,3,3,5,4,dependable
Female,2,2,5,4,4,extraverted
Male,4,4,4,4,6,dependable
Female,5,4,2,5,6,dependable
Female,5,5,7,7,4,dependable
Female,3,2,7,4,5,dependable
Male,6,4,5,7,5,extraverted
Male,7,5,4,6,4,lively
Female,7,6,4,3,5,lively
Female,4,7,5,7,3,extraverted
Male,5,3,6,7,6,responsible
Male,6,2,7,6,6,dependable
Male,2,2,6,4,6,extraverted
Female,5,3,4,5,6,dependable
Male,1,1,3,6,6,serious
Male,6,5,5,5,5,responsible
Female,7,6,6,6,4,serious
Female,5,2,7,6,6,extraverted
Female,6,3,6,4,5,extraverted
Male,5,2,3,4,6,serious
Male,7,4,6,5,6,serious
Female,5,4,6,4,6,lively
Female,2,5,7,6,4,responsible
Female,3,2,7,6,4,dependable
Male,4,4,7,6,4,serious
Male,5,2,4,5,7,lively
Male,7,4,1,3,4,dependable
Male,8,4,2,2,5,lively
Female,7,7,7,7,2,extraverted
Male,4,6,4,6,6,dependable
Male,7,6,4,5,5,dependable
Male,7,6,7,4,3,serious
Female,4,4,5,5,4,lively
Male,5,6,6,6,6,lively
Female,5,6,5,7,4,extraverted
Male,6,6,7,5,7,serious
Male,5,7,5,6,7,lively
Female,5,5,5,5,5,lively
Male,6,7,5,6,3,serious
Female,7,6,7,7,6,extraverted
Male,6,6,6,6,6,serious
Male,6,7,5,5,5,dependable
Male,5,5,5,5,5,extraverted
Male,4,6,7,3,3,extraverted
Male,7,7,2,6,5,serious
Female,6,7,4,4,2,responsible
Male,5,6,6,4,3,responsible
Female,4,6,3,3,3,extraverted
Male,6,4,6,3,6,responsible
Male,4,5,4,3,6,serious
Female,5,5,5,5,5,responsible
Male,5,3,3,4,4,extraverted
Male,7,7,5,5,7,serious
Male,7,5,6,6,5,serious
Female,6,7,5,5,7,responsible
Female,4,6,4,6,6,extraverted
Female,6,5,6,4,5,lively
Female,7,4,7,6,5,dependable
Female,6,6,3,5,4,extraverted
Male,6,5,5,6,3,extraverted
Male,6,6,5,6,6,dependable
Female,6,3,5,5,4,lively
Male,5,7,3,6,4,extraverted
Female,7,6,6,6,5,lively
Male,1,6,6,7,5,responsible
Female,7,7,5,7,3,dependable
Female,7,3,7,7,3,dependable
Female,6,5,4,5,5,serious
Male,3,5,5,4,2,responsible
Female,6,7,6,6,6,extraverted
Female,7,5,6,6,4,lively
Female,5,5,5,6,2,extraverted
Male,6,5,7,6,4,dependable
Male,5,6,5,5,3,serious
Female,5,5,4,4,3,responsible
Female,7,5,5,5,5,serious
Male,6,4,3,6,2,lively
Male,6,4,7,6,4,lively
Female,3,4,5,5,1,responsible
Female,4,4,4,6,1,extraverted
Male,5,4,3,6,6,serious
Male,7,7,4,4,5,extraverted
Female,7,6,7,6,6,lively
Male,7,5,6,4,3,serious
Female,4,5,4,8,4,extraverted
Male,6,6,5,4,4,dependable
Female,7,8,5,4,7,lively
Male,5,4,3,6,3,lively
Male,3,7,2,6,5,serious
Male,7,6,5,5,5,extraverted
Female,7,7,4,5,2,responsible
Male,6,6,4,8,6,dependable
Female,7,5,5,4,4,lively
Female,6,6,5,5,4,serious
Female,7,6,5,4,4,responsible
Female,5,6,6,7,4,dependable
Male,6,5,5,6,4,lively
Male,5,5,5,7,3,dependable
Male,7,8,4,4,3,extraverted
Male,7,6,8,5,7,extraverted
Female,5,5,5,5,6,lively
Male,5,5,4,4,4,dependable
Female,6,6,5,6,4,responsible
Female,7,4,7,7,4,serious
Female,4,6,4,4,7,extraverted
Male,7,4,5,5,5,dependable
Female,5,5,5,5,6,lively
Female,5,1,6,6,2,lively
Male,3,6,3,3,7,responsible
Male,7,5,7,5,2,lively
Male,8,8,5,5,3,serious
Female,6,5,4,7,2,responsible
Female,6,4,4,6,5,lively
Female,7,5,7,6,1,serious
Female,6,3,7,4,4,dependable
Female,4,6,4,4,4,serious
Male,5,6,6,5,4,lively
Female,6,7,6,5,4,responsible
Female,5,5,5,4,6,dependable
Male,6,5,4,4,3,extraverted
Female,7,5,2,4,6,dependable
Female,4,4,4,4,4,serious
Male,5,8,5,6,4,lively
Male,3,6,7,4,3,responsible
Female,4,4,5,7,6,extraverted
Male,5,5,4,6,3,lively
Male,6,3,3,6,4,serious
Male,5,5,2,2,1,responsible
Male,6,6,3,6,2,responsible
Female,6,5,4,5,3,lively
Male,7,5,6,7,5,serious
Female,6,5,4,7,5,dependable
Female,5,5,3,5,2,lively
Female,7,6,5,5,1,extraverted
Female,7,4,7,3,5,serious
Male,5,1,5,1,5,lively
Female,5,7,3,2,3,extraverted
Male,7,5,6,7,3,dependable
Female,5,5,6,3,4,responsible
Male,7,5,7,1,5,serious
Female,6,6,4,6,4,lively
Male,3,4,5,5,5,lively
Male,2,6,6,7,7,dependable
Male,6,2,6,5,5,responsible
Female,5,5,5,1,4,dependable
Male,4,6,5,7,5,dependable
Female,6,4,6,5,6,lively
Male,5,3,4,7,6,dependable
Female,4,6,5,6,5,responsible
Male,7,5,5,5,2,serious
Female,4,5,5,6,4,dependable
Male,4,6,6,5,6,lively
Female,4,4,6,5,2,serious
Male,7,3,5,5,3,extraverted
Female,2,6,3,6,3,lively
Female,5,7,7,6,2,extraverted
Male,6,6,4,5,2,responsible
Female,3,1,5,3,2,responsible
Female,5,3,4,5,4,dependable
Male,3,5,5,7,4,extraverted
Female,4,6,3,3,5,responsible
Female,5,5,5,6,3,serious
Female,4,3,7,6,5,lively
Male,4,7,6,5,3,serious
Female,5,5,6,1,6,serious
Male,2,6,7,2,6,extraverted
Male,6,2,6,6,4,serious
Male,7,5,6,2,6,dependable
Female,6,6,6,6,4,dependable
Female,6,2,6,7,3,lively
Female,5,3,6,7,5,extraverted
Male,5,5,6,2,5,dependable
Female,6,5,5,1,6,responsible
Male,3,5,6,8,5,serious
Female,5,2,3,4,3,lively
Female,5,3,6,7,4,serious
Female,7,4,5,5,7,extraverted
Male,5,3,6,6,5,serious
Female,3,4,7,7,3,serious
Male,7,5,4,1,5,dependable
Female,4,1,6,5,5,responsible
Female,3,6,3,7,4,serious
Male,6,4,3,1,7,extraverted
Female,7,3,2,2,4,dependable
Female,2,2,5,5,4,serious
Male,6,3,2,3,5,dependable
Male,4,6,6,5,4,extraverted
Male,6,5,4,6,2,lively
Male,2,5,4,6,1,serious
Female,4,7,5,4,4,responsible
Male,4,7,4,7,3,dependable
Female,5,5,5,5,6,lively
Female,7,6,7,4,7,dependable
Female,5,7,7,7,6,serious
Female,6,7,5,4,1,dependable
Female,6,6,4,4,6,responsible
Male,5,5,7,5,7,lively
Male,2,7,2,6,4,dependable
Female,6,3,4,5,1,lively
Female,5,5,5,3,2,extraverted
Female,5,4,4,4,2,extraverted
Male,5,3,1,3,5,lively
Male,5,5,2,6,4,serious
Female,6,6,2,4,2,extraverted
Female,5,4,4,4,5,lively
Male,7,7,1,1,4,dependable
Male,6,2,2,7,4,extraverted
Male,6,6,1,5,5,serious
Female,5,7,5,5,6,serious
Male,4,5,5,4,5,dependable
Male,5,3,4,6,2,responsible
Female,5,5,4,4,5,serious
Female,5,2,5,5,5,extraverted
Female,6,7,3,7,6,serious
Female,6,5,1,7,4,lively
Male,5,5,1,3,6,extraverted
Female,6,7,5,5,6,serious
Male,5,6,2,7,4,responsible
Female,3,4,7,6,5,serious
Male,5,5,7,6,5,lively
Female,4,5,6,6,1,responsible
Male,6,3,1,5,5,dependable
Male,5,2,3,6,1,serious
Male,5,6,5,7,5,extraverted
Female,5,5,7,6,5,extraverted
